strike,call_open_930,call_close_230,call_total_volume,put_open_930,put_close_230,put_total_volume
359.0,0.0,0.0,0.0,0.01,0.0,9.0
360.0,30.78,0.0,12.0,0.01,0.0,1.0
361.0,0.0,0.0,0.0,0.01,0.0,1.0
362.0,0.0,0.0,66.0,0.01,0.0,5.0
363.0,27.8,0.0,108.0,0.01,0.0,5.0
365.0,0.0,0.0,636.0,0.01,0.0,31.0
366.0,0.0,0.0,0.0,0.01,0.0,21.0
367.0,26.03,0.0,17.0,0.01,0.01,19.0
368.0,0.0,0.0,1.0,0.01,0.01,31.0
369.0,0.0,0.0,36.0,0.01,0.01,23.0
370.0,23.5,0.0,4.0,0.01,0.01,984.0
371.0,0.0,0.0,0.0,0.01,0.0,63.0
372.0,0.0,0.0,1.0,0.01,0.01,132.0
374.0,0.0,15.03,3.0,0.01,0.0,3618.0
375.0,18.49,14.4,541.0,0.01,0.01,3751.0
376.0,0.0,0.0,13.0,0.01,0.01,1224.0
377.0,0.0,13.05,28.0,0.01,0.01,1429.0
378.0,0.0,10.67,3.0,0.01,0.01,1518.0
379.0,15.28,0.0,207.0,0.01,0.01,5673.0
380.0,14.56,10.35,1019.0,0.03,0.01,10259.0
381.0,0.0,8.44,43.0,0.03,0.01,5150.0
382.0,12.96,7.97,249.0,0.04,0.01,5752.0
383.0,9.98,7.44,1374.0,0.03,0.01,13360.0
384.0,10.0,5.99,518.0,0.04,0.01,20396.0
385.0,8.38,5.44,5202.0,0.06,0.02,104417.0
386.0,7.63,3.86,4423.0,0.09,0.01,137705.0
387.0,8.0,3.64,8065.0,0.13,0.02,155831.0
388.0,5.78,2.59,54016.0,0.19,0.06,291726.0
389.0,4.83,1.74,106829.0,0.29,0.15,280273.0
390.0,4.82,0.99,236767.0,0.42,0.4,323906.0
391.0,4.37,0.49,177873.0,0.61,0.88,125012.0
392.0,3.61,0.19,147025.0,0.9,1.6,84126.0
393.0,2.48,0.07,126453.0,1.18,2.52,78068.0
394.0,1.94,0.03,139116.0,1.66,3.43,35884.0
395.0,1.45,0.02,168394.0,2.07,4.5,24430.0
396.0,1.07,0.01,70938.0,2.73,5.29,7288.0
397.0,0.73,0.01,42430.0,3.32,6.31,10537.0
398.0,0.51,0.01,27862.0,4.46,7.34,11153.0
399.0,0.35,0.01,21198.0,4.42,8.58,3490.0
425.0,0.0,0.0,16.0,0.0,0.0,76.0
426.0,0.0,0.0,305.0,,,0.0
427.0,0.01,0.0,23.0,,,0.0
429.0,0.0,0.0,6.0,0.0,0.0,385.0
430.0,,,0.0,0.0,0.0,2.0
433.0,0.0,0.0,1.0,,,0.0
434.0,,,0.0,0.0,0.0,55.0
440.0,0.0,0.0,3.0,,,0.0
445.0,,,0.0,0.0,0.0,2.0
460.0,,,0.0,0.0,0.0,1.0
465.0,,,0.0,0.0,0.0,1.0
